agentId,domain
ab-testing-optimizer-agent,funnel
ad-network-manager-agent,content
affiliate-link-manager-agent,funnel
algorithm-adaptation-agent,social
analytics-and-reporting-agent,content
analytics-and-reporting-agent,funnel
analytics-and-reporting-agent,podcast
asset-sourcer-agent,ops
audience-growth-agent,social
audience-persona-architect-agent,social
audience-segmentation-agent,social
audio-recording-agent,funnel
auth-blocker-sentinel,ops
brand-identity-agent,brand
brand-outreach-agent,brand
brand-prospecting-agent,brand
campaign-execution-agent,brand
campaign-reporting-agent,brand
code-fossil-investigator,funnel
cognitive-bias-optimizer-agent,funnel
community-engagement-agent,social
community-manager-agent,social
competitive-intelligence-agent,brand
content-calendar-agent,seo
content-calendar-orchestrator-agent,seo
content-calendar-orchestrator-agent,social
content-refresh-agent,seo
content-repurposing-agent,social
content-writer-agent,content
content-writer-agent,seo
contract-manager-agent,brand
cro-process-agent,funnel
customer-journey-map-agent,funnel
deal-negotiator-agent,brand
digital-asset-manager-agent,ops
digital-product-creator-agent,content
digital-product-factory-agent,content
ecom-platform-manager-agent,funnel
email-marketing-automation-agent,brand
episode-planner-agent,podcast
equipment-recommendation-agent,funnel
ethical-bias-auditor-agent,funnel
facebook-strategy-agent,social
fan-funding-agent,content
financial-manager-agent,brand
funnel-economics-analyst-agent,funnel
guest-booking-agent,podcast
guest-relationship-manager-agent,podcast
influencer-media-kit-agent,brand
influencer-niche-agent,brand
information-retrieval-agent,funnel
instagram-strategy-agent,social
keyword-research-agent,content
keyword-research-agent,seo
lead-capture-agent,funnel
lead-magnet-funnel-agent,funnel
legal-compliance-agent,brand
legal-compliance-agent,ops
link-building-agent,seo
live-stream-manager-agent,content
local-ai-claude-code-cli,ops
local-ai-gemini-cli,ops
master-of-taxonomies,funnel
media-evidence-investigator,content
monetization-strategy-agent,funnel
niche-analyst-agent,funnel
notes-ledger-investigator,ops
orchestrator-agent,brand
orchestrator-agent,content
orchestrator-agent,funnel
orchestrator-agent,ops
orchestrator-agent,podcast
orchestrator-agent,seo
orchestrator-agent,social
oto-sequence-architect-agent,funnel
personal-brand-architect-agent,brand
personalized-content-recommendation-agent,funnel
platform-selection-agent,brand
podcast-ad-network-agent,podcast
podcast-affiliate-agent,podcast
podcast-analytics-agent,podcast
podcast-audio-editor-agent,podcast
podcast-distribution-agent,podcast
podcast-equipment-agent,podcast
podcast-format-designer-agent,podcast
podcast-hosting-setup-agent,podcast
podcast-monetization-strategy-agent,podcast
podcast-niche-analyst-agent,podcast
podcast-promotion-agent,podcast
podcast-seo-agent,podcast
podcast-video-editor-agent,podcast
productivity-and-burnout-prevention-agent,ops
repo-lineage-investigator,ops
reputation-management-agent,brand
sales-funnel-architect-agent,funnel
scout-llm-opportunities,social
scriptwriter-agent,social
seo-optimizer-agent,content
seo-optimizer-agent,seo
social-selling-agent,social
sponsorship-outreach-agent,podcast
storyboard-artist-agent,content
talent-manager-agent,brand
task-agent-router,brand
task-agent-router,content
task-agent-router,funnel
task-agent-router,ops
task-agent-router,podcast
task-agent-router,seo
task-agent-router,social
tax-compliance-agent,ops
technical-seo-auditor-agent,seo
technical-setup-agent,content
tiktok-strategy-agent,social
timeline-synthesis-investigator,ops
traffic-generation-agent,social
twip-orchestration-bridge,content
user-feedback-analysis-agent,content
value-ladder-architect-agent,funnel
video-editor-agent,content
visual-asset-creator-agent,funnel
x-strategy-agent,social
yt-content-strategy-agent,brand
yt-niche-strategy-agent,content
yt-seo-optimizer-agent,seo
