id,groupIndex,groupName,filename,isSetAsset,requiredVariants,expectedWidth,expectedHeight,dimensionConfidence,dimensionReason,prompt
g01-01,1,Brand + Shell,pkr_brand_logo_mark_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate a premium logo mark for ""Casin8 Poker Room"". Geometric, futuristic, elegant. Blend poker symbolism (subtle spade/diamond negative space) with AI circuitry cues. Emerald core glow, royal gold micro-trim, deep navy body. Deliver transparent background, crisp edges, no text, icon-only."
g01-02,1,Brand + Shell,pkr_brand_wordmark_light_v01.png,false,light,2048,2048,medium,prop-icon-standard,"Generate a wordmark ""Casin8 Poker Room"" with custom futuristic sans typography. High legibility, slightly condensed uppercase, technical micro-cuts. White/emerald primary with royal gold accent. Transparent background."
g01-03,1,Brand + Shell,pkr_shell_bg_main_desktop_idle_v01.png,false,idle,2560,1440,high,explicit-in-prompt,"Create a desktop app shell background (2560x1440) for poker. Layered deep navy-to-emerald gradient, faint nebula haze, sparse geometric constellation lines, subtle particle noise, dark vignette edges. Keep center area clean for UI panels."
g01-04,1,Brand + Shell,pkr_shell_bg_main_mobile_idle_v01.png,false,idle,1290,2796,high,explicit-in-prompt,"Create a mobile app shell background (1290x2796) matching desktop DNA: deep navy, emerald atmosphere, royal blue/purple secondary bands, subdued royal gold spark accents. Keep top and bottom safe areas visually calm for overlays."
g02-01,2,Poker Table and Environment,pkr_table_felt_6max_topdown_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design a 6-max poker felt top-down table. Premium emerald felt weave, deep navy shadows, royal gold trim ring, seat cutouts with subtle glass halos. Center pot area clean and high contrast. No chips/cards baked in."
g02-02,2,Poker Table and Environment,pkr_table_felt_9max_topdown_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design a 9-max tournament table top-down variant with same style DNA. Slightly wider oval, stronger rail detail, reserved dealer/button zones, anti-clutter center."
g02-03,2,Poker Table and Environment,pkr_table_rail_material_closeup_v01.png,false,closeup,2048,2048,medium,prop-icon-standard,"Create a texture plate for poker table rail materials: dark carbon, brushed metal seams, royal gold piping, faint holographic inlays. Tileable feel preferred."
g02-04,2,Poker Table and Environment,pkr_stage_cinematic_table_scene_v01.png,false,scene,2560,1440,medium,background-scene-standard,"Create an isometric cinematic poker stage scene with depth-of-field: central table pedestal, holographic HUD projectors, ambient fog, particle glints, cyborg/bot venue vibe. Keep visual hierarchy focused on table center."
g03-01,3,"Chips, Pot, and Markers",pkr_chip_denom_1_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate high-detail casino chip (denomination 1) top+angled view. White/silver base with emerald accents, embossed edge, realistic micro-scratches, transparent background."
g03-02,3,"Chips, Pot, and Markers",pkr_chip_denom_5_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 5 chip, royal red base with gold stripe geometry, same material style and lighting as set."
g03-03,3,"Chips, Pot, and Markers",pkr_chip_denom_25_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 25 chip, emerald base, technical radial inlay, precise legibility."
g03-04,3,"Chips, Pot, and Markers",pkr_chip_denom_100_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 100 chip, royal blue base, silver edge texturing, anti-counterfeit micro-pattern detail."
g03-05,3,"Chips, Pot, and Markers",pkr_chip_denom_500_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 500 chip, royal purple base with royal gold center crest, premium high-stakes look."
g03-06,3,"Chips, Pot, and Markers",pkr_chip_stack_small_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,Create small mixed-denomination chip stack with clean silhouette and soft grounded shadow.
g03-07,3,"Chips, Pot, and Markers",pkr_chip_stack_large_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Create large mixed-denomination chip tower with believable tilt and compression. High-end realism, transparent background."
g03-08,3,"Chips, Pot, and Markers",pkr_marker_dealer_button_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design a premium dealer button marker. White core, gold rim, emerald micro-LED edge glow, engraved ""D""."
g03-09,3,"Chips, Pot, and Markers",pkr_marker_sb_bb_set_idle_v01.png,true,idle,2048,2048,medium,prop-icon-standard,"Create SB and BB blind markers as a matching pair. Distinct colors, shared style language, crisp label readability."
g03-10,3,"Chips, Pot, and Markers",pkr_marker_allin_badge_set_v01.png,true,neutral|warning|locked,2048,2048,medium,prop-icon-standard,"Create ALL-IN badge variants: neutral, warning, locked. Glass panel + metallic rim + readable typography."
g04-01,4,Cards and Card Motion Props,pkr_card_back_primary_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Create a premium poker card back design matching Casin8 style: deep navy base, emerald linework, royal gold center sigil, subtle royal purple/blue energy ring. Print-safe symmetry, high contrast."
g04-02,4,Cards and Card Motion Props,pkr_card_back_alt_royal_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,Create alternate card back with stronger royal red and royal blue geometry while preserving brand DNA.
