id,label,kind,group
agent:ab-testing-optimizer-agent,ab-testing-optimizer-agent,agent,funnel
agent:affiliate-link-manager-agent,affiliate-link-manager-agent,agent,ops
agent:agent-registry-manager,agent-registry-manager,agent,orchestration
agent:agent-relationship-grapher,agent-relationship-grapher,agent,orchestration
agent:agent-search-engine,agent-search-engine,agent,orchestration
agent:agent-tagger,agent-tagger,agent,orchestration
agent:analytics-and-reporting-agent,analytics-and-reporting-agent,agent,ops
agent:asset-sourcer-agent,asset-sourcer-agent,agent,ops
agent:audience-growth-agent,audience-growth-agent,agent,social
agent:brand-identity-agent,brand-identity-agent,agent,brand
agent:brand-outreach-agent,brand-outreach-agent,agent,brand
agent:brand-prospecting-agent,brand-prospecting-agent,agent,brand
agent:campaign-execution-agent,campaign-execution-agent,agent,brand
agent:campaign-reporting-agent,campaign-reporting-agent,agent,brand
agent:cognitive-bias-optimizer-agent,cognitive-bias-optimizer-agent,agent,funnel
agent:content-calendar-agent,content-calendar-agent,agent,content
agent:content-calendar-orchestrator-agent,content-calendar-orchestrator-agent,agent,content
agent:content-refresh-agent,content-refresh-agent,agent,content
agent:content-repurposing-agent,content-repurposing-agent,agent,content
agent:content-writer-agent,content-writer-agent,agent,content
agent:contract-manager-agent,contract-manager-agent,agent,brand
agent:cro-process-agent,cro-process-agent,agent,funnel
agent:deal-negotiator-agent,deal-negotiator-agent,agent,brand
agent:facebook-strategy-agent,facebook-strategy-agent,agent,social
agent:financial-manager-agent,financial-manager-agent,agent,ops
agent:instagram-strategy-agent,instagram-strategy-agent,agent,social
agent:inter-agentic-workflow-definer,inter-agentic-workflow-definer,agent,orchestration
agent:interoperability-protocol-agent,interoperability-protocol-agent,agent,orchestration
agent:keyword-research-agent,keyword-research-agent,agent,seo
agent:legal-compliance-agent,legal-compliance-agent,agent,ops
agent:link-building-agent,link-building-agent,agent,seo
agent:orchestrator-agent,orchestrator-agent,agent,orchestration
agent:podcast-analytics-agent,podcast-analytics-agent,agent,podcast
agent:podcast-distribution-agent,podcast-distribution-agent,agent,podcast
agent:podcast-format-designer-agent,podcast-format-designer-agent,agent,podcast
agent:podcast-hosting-setup-agent,podcast-hosting-setup-agent,agent,podcast
agent:podcast-niche-analyst-agent,podcast-niche-analyst-agent,agent,podcast
agent:podcast-promotion-agent,podcast-promotion-agent,agent,podcast
agent:productivity-and-burnout-prevention-agent,productivity-and-burnout-prevention-agent,agent,ops
agent:reputation-management-agent,reputation-management-agent,agent,ops
agent:sales-funnel-architect-agent,sales-funnel-architect-agent,agent,funnel
agent:seo-optimizer-agent,seo-optimizer-agent,agent,seo
agent:task-agent-router,task-agent-router,agent,orchestration
agent:tax-compliance-agent,tax-compliance-agent,agent,ops
agent:technical-seo-auditor-agent,technical-seo-auditor-agent,agent,seo
agent:tiktok-strategy-agent,tiktok-strategy-agent,agent,social
agent:value-ladder-architect-agent,value-ladder-architect-agent,agent,funnel
agent:visual-asset-creator-agent,visual-asset-creator-agent,agent,ops
agent:x-strategy-agent,x-strategy-agent,agent,social
app:api,apps/api,app,workflow-system
app:backend,apps/backend,app,workflow-system
app:cloud-sandbox,apps/cloud-sandbox,app,workflow-system
app:frontend,apps/frontend,app,workflow-system
app:relay-server,apps/relay-server,app,workflow-system
artifact:agent-relationship-graph,Agent Relationship Graph,artifact,artifacts
artifact:all-links-audit,All Links Audit,artifact,navigation
artifact:all-pages-paths,allPagesPaths,artifact,navigation
artifact:canonical-sidebar-paths,canonicalSidebarPaths,artifact,navigation
artifact:effective-router-paths,effectiveRouterPaths,artifact,navigation
artifact:keyword-mentions-map,Keyword Mentions Map,artifact,governance
artifact:live-link-crawl,Live Link Crawl,artifact,navigation
artifact:navigation-route-audit,Navigation Route Audit,artifact,navigation
artifact:router-paths,routerPaths,artifact,navigation
artifact:sidebar-paths,sidebarPaths,artifact,navigation
domain:ai-arcade-poker.pages.dev,ai-arcade-poker.pages.dev,domain,domains
domain:ai-arcade.xyz,ai-arcade.xyz,domain,domains
domain:poker.ai-arcade.xyz,poker.ai-arcade.xyz,domain,domains
domain:thenewfuse.com,thenewfuse.com,domain,domains
file:public/index.html,public/index.html,file,source-files
file:public/sitemap.html,public/sitemap.html,file,source-files
file:public/test-page.html,public/test-page.html,file,source-files
