agentId,domain
ab-testing-optimizer-agent,funnel
affiliate-link-manager-agent,ops
analytics-and-reporting-agent,funnel
analytics-and-reporting-agent,ops
analytics-and-reporting-agent,podcast
asset-sourcer-agent,ops
audience-growth-agent,social
brand-identity-agent,brand
brand-outreach-agent,brand
brand-prospecting-agent,brand
campaign-execution-agent,brand
campaign-reporting-agent,brand
cognitive-bias-optimizer-agent,funnel
content-calendar-agent,content
content-calendar-agent,seo
content-calendar-orchestrator-agent,content
content-calendar-orchestrator-agent,seo
content-calendar-orchestrator-agent,social
content-refresh-agent,content
content-repurposing-agent,content
content-writer-agent,content
content-writer-agent,seo
contract-manager-agent,brand
cro-process-agent,funnel
deal-negotiator-agent,brand
facebook-strategy-agent,social
financial-manager-agent,ops
instagram-strategy-agent,social
keyword-research-agent,content
keyword-research-agent,seo
legal-compliance-agent,brand
legal-compliance-agent,ops
link-building-agent,seo
orchestrator-agent,brand
orchestrator-agent,content
orchestrator-agent,funnel
orchestrator-agent,ops
orchestrator-agent,podcast
orchestrator-agent,seo
orchestrator-agent,social
podcast-analytics-agent,podcast
podcast-distribution-agent,podcast
podcast-format-designer-agent,podcast
podcast-hosting-setup-agent,podcast
podcast-niche-analyst-agent,podcast
podcast-promotion-agent,podcast
productivity-and-burnout-prevention-agent,ops
reputation-management-agent,ops
sales-funnel-architect-agent,funnel
seo-optimizer-agent,content
seo-optimizer-agent,seo
task-agent-router,brand
task-agent-router,content
task-agent-router,funnel
task-agent-router,ops
task-agent-router,podcast
task-agent-router,seo
task-agent-router,social
tax-compliance-agent,ops
technical-seo-auditor-agent,seo
tiktok-strategy-agent,social
value-ladder-architect-agent,funnel
visual-asset-creator-agent,ops
x-strategy-agent,social
